tvoc,pressure,rawh2,temperature,timestamp,eco2,id,hum,rawethanol,type,sample_time,pt2,pt1
1,401,12645,27.4,2025-03-25 19:51:27.241562,400,817,36.74,693,2,3207539,"{'pm10_standard': 8, 'pm25_standard': 12, 'pm100_standard': 15, 'particles_03um': 1794, 'particles_05um': 467, 'particles_10um': 73, 'particles_25um': 10, 'particles_50um': 4, 'particles_100um': 0}","{'pm10_standard': 10, 'pm25_standard': 14, 'pm100_standard': 17, 'particles_03um': 1890, 'particles_05um': 551, 'particles_10um': 72, 'particles_25um': 12, 'particles_50um': 4, 'particles_100um': 2}"
8,401,12647,27.42,2025-03-25 19:51:37.241224,400,817,36.86,694,2,3217593,"{'pm10_standard': 8, 'pm25_standard': 11, 'pm100_standard': 14, 'particles_03um': 1716, 'particles_05um': 442, 'particles_10um': 55, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 0}","{'pm10_standard': 11, 'pm25_standard': 15, 'pm100_standard': 17, 'particles_03um': 2019, 'particles_05um': 590, 'particles_10um': 88, 'particles_25um': 6, 'particles_50um': 3, 'particles_100um': 1}"
3,401,12643,27.41,2025-03-25 19:51:47.292676,400,817,36.97,694,2,3227656,"{'pm10_standard': 8, 'pm25_standard': 12, 'pm100_standard': 14, 'particles_03um': 1728, 'particles_05um': 466, 'particles_10um': 68, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 12, 'pm25_standard': 16, 'pm100_standard': 16, 'particles_03um': 2133, 'particles_05um': 624, 'particles_10um': 88, 'particles_25um': 1, 'particles_50um': 0, 'particles_100um': 0}"
4,401,12653,27.42,2025-03-25 19:51:57.397322,400,817,37.04,695,2,3237708,"{'pm10_standard': 8, 'pm25_standard': 13, 'pm100_standard': 15, 'particles_03um': 1653, 'particles_05um': 471, 'particles_10um': 83, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 12, 'pm25_standard': 15, 'pm100_standard': 16, 'particles_03um': 2151, 'particles_05um': 605, 'particles_10um': 86, 'particles_25um': 2, 'particles_50um': 1, 'particles_100um': 0}"
0,401,12651,27.44,2025-03-25 19:52:07.409758,400,817,36.81,695,2,3247760,"{'pm10_standard': 8, 'pm25_standard': 13, 'pm100_standard': 14, 'particles_03um': 1671, 'particles_05um': 482, 'particles_10um': 82, 'particles_25um': 4, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 13, 'pm25_standard': 17, 'pm100_standard': 17, 'particles_03um': 2247, 'particles_05um': 646, 'particles_10um': 110, 'particles_25um': 2, 'particles_50um': 1, 'particles_100um': 0}"
5,401,12641,27.44,2025-03-25 19:52:17.501109,400,817,36.75,695,2,3257826,"{'pm10_standard': 9, 'pm25_standard': 13, 'pm100_standard': 14, 'particles_03um': 1713, 'particles_05um': 475, 'particles_10um': 89, 'particles_25um': 2, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 13, 'pm25_standard': 18, 'pm100_standard': 19, 'particles_03um': 2289, 'particles_05um': 656, 'particles_10um': 132, 'particles_25um': 4, 'particles_50um': 2, 'particles_100um': 1}"
10,401,12655,27.45,2025-03-25 19:52:27.445145,400,817,36.8,695,2,3267826,"{'pm10_standard': 9, 'pm25_standard': 18, 'pm100_standard': 24, 'particles_03um': 1896, 'particles_05um': 549, 'particles_10um': 104, 'particles_25um': 36, 'particles_50um': 10, 'particles_100um': 2}","{'pm10_standard': 12, 'pm25_standard': 17, 'pm100_standard': 18, 'particles_03um': 2148, 'particles_05um': 622, 'particles_10um': 116, 'particles_25um': 3, 'particles_50um': 1, 'particles_100um': 1}"
5,401,12644,27.49,2025-03-25 19:52:37.494592,400,817,36.83,696,2,3277835,"{'pm10_standard': 10, 'pm25_standard': 16, 'pm100_standard': 21, 'particles_03um': 1875, 'particles_05um': 534, 'particles_10um': 81, 'particles_25um': 24, 'particles_50um': 8, 'particles_100um': 2}","{'pm10_standard': 12, 'pm25_standard': 17, 'pm100_standard': 18, 'particles_03um': 2199, 'particles_05um': 620, 'particles_10um': 112, 'particles_25um': 4, 'particles_50um': 1, 'particles_100um': 1}"
4,401,12644,27.49,2025-03-25 19:52:47.607242,400,817,36.86,696,2,3287903,"{'pm10_standard': 8, 'pm25_standard': 17, 'pm100_standard': 20, 'particles_03um': 1695, 'particles_05um': 472, 'particles_10um': 120, 'particles_25um': 28, 'particles_50um': 6, 'particles_100um': 2}","{'pm10_standard': 13, 'pm25_standard': 18, 'pm100_standard': 18, 'particles_03um': 2268, 'particles_05um': 647, 'particles_10um': 124, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}"
9,401,12647,27.49,2025-03-25 19:52:57.593077,400,817,36.74,697,2,3297905,"{'pm10_standard': 9, 'pm25_standard': 16, 'pm100_standard': 19, 'particles_03um': 1782, 'particles_05um': 496, 'particles_10um': 104, 'particles_25um': 22, 'particles_50um': 4, 'particles_100um': 4}","{'pm10_standard': 12, 'pm25_standard': 17, 'pm100_standard': 17, 'particles_03um': 2238, 'particles_05um': 629, 'particles_10um': 104, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}"
3,401,12646,27.5,2025-03-25 19:53:07.625091,400,817,36.64,698,2,3307968,"{'pm10_standard': 9, 'pm25_standard': 13, 'pm100_standard': 15, 'particles_03um': 1653, 'particles_05um': 462, 'particles_10um': 81, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 11, 'pm25_standard': 15, 'pm100_standard': 16, 'particles_03um': 2070, 'particles_05um': 577, 'particles_10um': 82, 'particles_25um': 4, 'particles_50um': 1, 'particles_100um': 1}"
2,401,12646,27.51,2025-03-25 19:53:17.651313,400,817,36.55,698,2,3318031,"{'pm10_standard': 8, 'pm25_standard': 12, 'pm100_standard': 12, 'particles_03um': 1632, 'particles_05um': 453, 'particles_10um': 87, 'particles_25um': 4, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 10, 'pm25_standard': 14, 'pm100_standard': 16, 'particles_03um': 1944, 'particles_05um': 542, 'particles_10um': 82, 'particles_25um': 4, 'particles_50um': 1, 'particles_100um': 1}"
